word,frequency
buy,34
drugs,66
anymore,24
wait,48
decided,73
sit,55
supplier,1
amel,2
boys,32
sat,156
grab,22
dragged,67
itno,1
lip,16
hallway,57
lamp,4
break,27
fighting,38
life,57
kicked,56
struck,59
moment,11
purse,95
cpu,141
booking,66
trash,9
hidden,4
tissue,20
malete,48
staff,150
queen,2
large,56
laceration,21
lower,17
eye,34
evidencerape,3
conduct,120
nikkisha,5
reno,6
peak,1
junior,16
eli,1
tate,11
executed,36
warrant,307
package,52
kidnapping,174
felonious,84
h,44
thompson,101
csu,55
monday,110
offices,3
delivered,8
latent,55
prints,96
w,222
b,159
f,41
peroperty,1
developed,34
heinekens,1
bottles,10
envalope,3
p,86
l,138
bottle,55
lp,55
trace,49
u,22
stokes,19
quality,8
value,36
print,30
comparison,13
lfeast,3
felicia,13
simington,7
unita,5
renojordan,2
processed,65
recovered,90
compared,8
fingerprint,28
chart,2
bearing,17
identical,5
green,101
heineken,1
lift,8
barb,5
kusznir,4
concurred,3
elimination,6
purposes,11
william,38
buchannon,2
uncertified,3
letters,13
jordanreno,1
agler,1
indianola,1
av,37
columbus,4
windsor,4
hts,14
iowa,3
hickman,1
des,3
moines,2
goddard,1
deliverable,2
loraine,4
coyne,46
issuedvictim,1
cleau,1
submitted,131
walk,167
easaint,27
clair,122
entrance,20
basement,121
coat,78
blouse,15
belt,29
tied,33
together,100
step,40
noise,32
running,85
yards,19
jumping,4
fence,31
pitman,4
folowup,1
phots,13
crimeappointment,1
keep,85
april,40
pursleyking,3
aggravated,117
robbery,89
town,27
nothing,128
small,79
blindfolded,6
euclid,173
blindfold,6
truck,72
loading,1
bay,3
discovered,55
performed,74
turns,14
performing,28
acts,23
dollar,16
bill,22
direction,102
flagged,30
reveals,338
husband,83
sergeant,379
bouc,4
richrd,1
ubiewski,1
numerous,86
attempts,172
wpilnfiiino,1
leadsno,97
bob,4
dillion,4
gary,20
wojcik,1
beavor,1
avenue,148
bo,22
unbutton,7
punched,79
force,104
ad,2
lay,131
penetrated,142
anus,70
failed,98
forcefully,26
vaginally,120
comaleing,4
spit,3
mad,25
swallow,5
followed,129
covered,73
essie,4
smiley,5
knows,73
vincent,91
toilet,21
flushed,1
wash,35
body,99
hassel,2
appointments,47
temporarily,6
staying,53
allowed,58
dee,10
throat,97
make,238
tusseling,2
telling,135
maleake,4
finished,118
dressed,151
tripping,2
streetertook,2
hasnever,2
relationship,44
unsure,79
chief,5
dispatcher,11
goyle,2
paged,20
hastings,16
party,69
key,43
bedding,4
patrick,6
rapenamed,94
hoursthe,1
kicking,22
beat,49
drag,15
penetration,51
participant,4
unsuccessfully,3
fled,214
arrests,87
areaunable,4
burglarykidnappingrapenamed,1
burglarykidnappingrape,2
cancel,81
suspectjuvenile,31
forth,34
aprox,11
wagner,19
cab,32
responding,19
confered,57
reported,159
downtown,25
gain,21
admission,6
cpi,2
psychatric,2
institute,4
admittance,2
greyhound,16
terminal,5
chester,32
described,328
offered,73
accepted,46
mapledale,1
archwood,8
kids,45
sleeping,105
residence,211
theabove,2
man,72
mine,11
arms,94
rest,28
outside,206
observing,5
someones,4
lawn,16
sight,6
problems,26
lenear,1
arnold,11
psyc,1
evaluation,11
list,31
psych,8
bolger,4
physical,51
sweat,14
wish,65
pursue,35
matter,299
wants,22
forget,4
reconsider,1
decision,7
proper,17
info,166
recreationd,4
aug,8
lorain,138
shell,14
rocky,42
river,50
tall,16
medium,24
build,33
lbs,50
dark,135
complexion,26
mustache,23
goetee,1
shaved,3
closely,3
sides,8
taller,2
short,143
length,17
colored,30
shorts,165
description,200
arrive,11
pmale,24
stood,35
acted,8
believed,67
outline,1
actually,14
weapon,101
brains,8
complied,183
landscaped,1
gas,70
payphone,11
opening,13
tree,11
flat,6
stomach,88
levis,1
penetrate,50
foot,87
rr,3
neighbors,31
chatfield,1
toth,3
fairview,164
er,29
dropping,13
geo,1
tracker,1
license,122
buick,11
robert,68
blue,231
heron,1
solon,4
uncopperative,1
coleman,92
investigated,82
brenda,16
sottosanti,1
ched,1
gunpoint,29
summary,69
approa,1
bushes,16
north,88
bp,27
intercource,1
neighbor,71
hap,1
pened,1
general,54
marion,8
crroll,1
extremity,1
injury,34
brusing,1
obvious,6
perineal,1
lacerations,15
introitus,1
checking,46
lab,98
hospitalthe,2
swabs,67
positive,45
seman,4
slides,6
psoitive,1
sperm,26
addition,4
poloraid,1
showing,18
seperating,1
sta,2
tion,10
pizza,8
hut,12
mary,26
ann,6
works,43
goodwill,2
deposit,5
society,1
bank,17
slot,2
blonde,7
south,103
alleythe,1
apeared,1
apron,1
add,26
yeako,1
bartender,13
kamms,1
pubrussell,1
gallagher,20
related,91
brown,227
game,16
tv,49
customers,3
standing,116
doorway,21
faces,12
caring,1
jacket,96
saidmy,1
wifes,1
pursegallagher,1
composite,12
waiting,106
conversation,50
afraid,80
hurt,140
pointed,107
object,23
kidding,2
popped,2
slammed,21
unzipped,31
move,53
toward,66
denison,25
heneley,1
suspectunable,4
caroll,2
alongside,5
backed,9
driveway,70
degrees,3
occurred,166
disalvo,3
walsh,29
sacanny,24
maritza,1
ramos,5
drawing,7
leadsnifl,2
occupied,14
heavy,27
goatee,16
driven,42
westchester,8
remove,96
unconscious,10
westbound,114
frequents,6
ashbury,5
dist,182
soliciting,10
el,8
sanadi,1
kijauskas,2
mulhall,51
antoinette,6
laurette,1
resisdence,1
orginial,2
bad,47
checked,108
computer,47
saccany,101
offense,57
streets,16
somewhere,41
hough,30
according,72
flipped,7
resisted,21
resulting,2
braids,13
shinny,2
punching,28
leg,80
inserted,136
urinated,16
cident,2
advise,30
photographs,37
thisuntil,2
investi,5
gative,2
kidnappingrapeaggravated,12
robberypartial,1
recovery,8
shale,2
pay,64
ignored,14
faster,8
footsteps,3
chrome,7
talk,196
prison,15
steps,38
porch,85
underwear,172
ten,37
withdrew,6
wiped,24
orange,15
towel,41
stay,80
five,54
naked,82
wide,8
pictures,24
thrown,16
yard,75
withgold,1
gr,9
exhausted,6
furthe,4
reporton,1
abducted,9
porkys,1
tavern,9
rta,43
coming,90
replied,163
missed,16
probably,14
morning,120
proceeded,217
sprayed,3
mace,8
fear,53
seeing,28
brick,22
causing,41
injuries,68
hitting,29
proceed,18
wrap,2
pass,20
thing,52
remembers,58
timberjake,1
emt,1
beating,25
luke,26
via,168
confined,25
nicolson,1
lendsey,1
march,36
ella,1
holly,4
spending,7
drinks,43
beers,17
informed,264
cheryl,13
swank,2
sleeped,1
occur,4
fact,72
drinking,141
slept,24
soundly,1
initial,20
verification,2
semen,48
rapecancelnamed,2
con,13
aware,17
sexually,125
assaulted,149
fast,8
asleep,145
people,62
engaged,35
acquaintance,12
consulted,166
cooperative,11
cancelled,31
cooperation,11
curtis,6
brothers,37
ross,36
lead,24
mt,142
sinai,137
doll,8
carroll,9
marvin,25
steep,2
job,60
corp,18
attended,9
nicole,9
couple,58
raymond,14
jones,98
leslie,7
adams,56
kissing,88
heading,15
kiss,53
getting,105
cant,38
already,51
late,28
choked,22
screamed,41
bent,19
smoke,65
cigarette,33
sorry,26
really,29
loved,7
pursuit,12
southside,9
wife,28
victoria,4
dragging,11
alright,12
manzon,1
officers,213
carnegie,35
kidnaprape,9
woodhall,1
illinois,2
thomspon,2
clover,1
michigan,5
workerdoll,1
reynolds,14
woodard,18
rapearrestcleanup,24
follwoup,1
declined,33
kray,14
revised,55
code,98
cleanupcleanupcleanup,25
kidnapped,33
mastrong,17
elementary,15
maroon,7
chrysler,6
labaron,1
vanity,1
plate,179
buckwald,2
ugly,1
broad,3
southern,1
accent,5
maam,1
need,29
memphis,9
marijuana,71
corning,2
gon,88
na,122
pleaded,19
youre,70
die,14
yuliub,1
anal,102
dirt,1
suffocate,2
inher,1
rosie,3
ganked,1
begging,7
asking,79
thn,3
scranton,8
asian,1
sgt,185
murray,6
seminatore,3
peachman,1
contents,15
inconsistancies,2
willingly,7
wanting,14
deaconess,5
jackie,5
minyard,2
attemp,1
signature,37
mchugh,112
reinvestigate,2
llmvmlihinli,1
rvijjlc,1
umemnrvinni,1
suspectsuspect,2
rapekidnappingclean,7
course,28
appositive,1
delbert,1
formwarded,1
buccal,60
ofbuckwald,1
brought,105
consider,7
wesaint,38
streetbound,11
yellow,33
ended,29
tech,4
willard,3
kissed,16
voluntarily,21
undress,7
nude,9
fondle,16
breasts,54
rub,12
butt,76
struggle,62
zipper,6
alot,5
pain,27
pumping,6
pockets,12
ring,13
food,39
stamps,12
consulting,16
johns,7
taugoen,1
finds,5
signs,68
contusions,9
collected,103
lapse,4
appears,13
slow,12
mentally,27
answering,21
questions,50
brar,1
notify,63
busy,4
hour,82
bridge,38
hp,2
fulton,11
cigarettes,30
someone,100
hide,5
licked,12
teen,1
ejaculate,74
friendly,4
chemically,1
unbalanced,2
medicine,12
paranoid,5
schizophrenia,5
occasions,43
prior,98
seven,9
wont,25
resistance,2
taggedentered,2
fur,8
ther,8
tee,32
purpose,16
unfounded,83
op,60
alleged,127
interviewee,187
lee,49
resides,40
dan,5
boyleg,2
blkblk,1
blk,64
bge,1
tennisshoes,1
kevin,11
barginer,1
parkmount,5
yrs,38
blkbro,6
brn,26
cap,38
jeans,125
jack,11
parkmaleount,1
burg,21
ski,5
engelhart,1
withmale,38
brysdale,1
blondhaz,1
premises,17
englehart,1
rm,5
awakened,37
insert,24
victimales,6
uttered,5
fun,6
cry,24
pleading,8
thin,19
please,79
even,27
though,17
knowledge,25
boy,21
metropolitan,72
authority,79
pelini,2
dobransky,1
chn,1
walton,21
conf,88
henke,1
attempting,44
childs,6
fathers,17
produced,30
caliber,12
greenlawnwhere,1
redwhite,2
fila,1
tennis,29
collar,4
cash,27
welfare,5
gotten,22
dining,27
undressed,28
rip,20
toe,3
watched,38
washed,26
kick,40
three,173
smelled,16
alcohol,54
breath,10
unprotected,6
nice,9
rubber,8
saidput,1
wandered,2
slap,5
trat,1
ejaculatedinside,1
aint,32
finish,9
shoulders,26
continuely,1
holding,97
fist,27
bathtub,7
deserve,2
everything,27
inserting,11
facing,17
daybed,2
run,74
knife,208
cut,94
beeper,4
best,10
belongs,13
tr,15
friers,1
shift,44
bm,40
eyes,89
ordeal,13
tasted,6
babys,2
uncle,30
susan,7
rivers,5
appeared,117
dumpster,7
bottom,23
bathing,3
suit,8
camden,2
ing,7
exact,40
determine,18
inability,2
rapearrestcleanupjuvenile,2
nonphysical,4
tomale,1
burton,7
exboyfriend,52
informing,11
angry,33
closed,93
biting,8
boarded,15
traveling,19
woodhill,8
broken,46
ace,5
bandage,3
questioning,24
human,32
bite,27
marks,21
weeks,40
ago,58
doesnt,83
twin,5
jail,100
jerry,8
austion,1
allen,33
marco,1
bonacci,51
four,81
rick,34
days,52
gray,59
chevy,37
monte,5
carlo,5
tinted,4
windows,25
noble,3
jessie,2
dawn,22
nobody,12
overnight,7
motel,50
sleep,159
hyundai,1
ready,49
agree,1
shoving,5
avoid,5
hold,63
bit,41
cousin,133
safely,1
insisted,5
mom,38
present,90
desatnik,1
escano,1
friars,1
mesage,1
previous,45
upexceptional,30
crossed,20
quickened,2
herspeed,1
exited,165
justsouth,2
doan,2
apartments,12
ford,57
tempo,3
power,5
locked,89
crawford,21
kenmore,8
pager,62
exit,36
gate,12
fir,61
enroute,30
technical,2
high,80
picks,13
virgin,7
distinguishing,2
odor,11
listens,2
modernr,2
music,25
godney,2
board,26
education,2
investigator,75
walshkoehl,4
tasha,5
mccray,4
wayside,2
answered,61
says,86
owns,7
linking,5
tommy,23
buchanan,13
vic,44
tims,3
involved,66
elsinor,2
ernest,6
katrina,6
ferrell,7
lakita,4
cities,2
calling,104
shu,2
rley,2
shirley,14
current,13
ly,11
vacation,4
ferre,2
vicitm,60
pertinant,2
paperwork,50
shurley,2
learn,9
buchan,1
charges,73
cw,267
headed,30
converse,3
curb,8
fearing,17
block,23
nearby,27
removing,31
boot,2
budge,1
drivers,58
throwing,14
ahd,4
lipstick,1
withcap,1
eyebrow,1
pencil,2
condoms,10
occassions,4
messages,57
calls,71
detecives,1
kidnappingrapedomestic,3
violencenamed,7
dates,30
tie,9
forcibly,40
continue,22
fists,10
press,8
type,87
temple,6
question,18
untie,1
placing,20
cause,18
maloy,1
wished,17
sign,47
reveiwing,1
canceled,6
getsomething,1
matress,2
acting,20
funny,15
pjs,4
licking,18
begged,14
chocking,3
big,40
struggling,25
drew,14
strike,17
condom,217
limp,9
grabbe,1
jaws,1
ejcalated,1
nd,3
douch,1
might,30
hook,4
slick,2
chill,5
dialed,6
extention,1
shcool,1
girlfriend,108
convinced,15
hoptital,1
threatened,61
dead,16
christmas,15
thornhurst,1
garfield,25
heights,70
quimby,2
chagrged,1
bond,11
end,96
rapename,29
miller,127
self,26
herslef,2
grimm,12
gathered,33
henderson,18
captain,20
dugan,2
community,29
college,16
tonganto,1
wieczorek,1
prom,11
ey,17
basketball,15
bench,18
track,7
pack,17
suspcct,1
woodland,58
crutches,3
possession,29
problem,16
heel,2
needs,7
support,8
play,34
ccc,3
pd,17
miles,38
shot,21
hoops,3
portion,13
shooting,7
verified,15
tongarto,1
basic,13
patrol,79
rounds,6
campus,10
soon,24
attacked,16
reveal,17
january,23
tajo,1
cpd,26
suffered,5
fresh,16
thigh,17
motile,1
brassiere,1
attack,34
fabian,3
investigatio,2
followu,2
contac,1
recd,5
instead,21
nit,1
apparent,5
blanket,44
shutup,1
enjoy,3
clime,1
thinks,29
thatit,1
verbal,36
altercation,11
nsuspects,1
arguing,23
private,58
frankel,2
columbia,6
pickedup,6
stu,12
unavailable,51
access,12
districts,21
andor,19
units,21
clijiac,1
burglarykidnappingrapeaggravated,2
adjacent,11
shouted,6
steve,60
intruder,2
thought,102
slit,3
ending,9
sometime,35
swelling,14
climbed,36
smoked,29
color,71
filter,2
wallet,21
dollars,23
based,29
interviewing,43
bills,4
table,36
marymount,19
crimalees,20
mu,1
partner,43
pickup,42
greeted,7
cora,1
ratliff,1
box,52
paper,77
bag,99
kauntz,3
aggkidnappingrapeagg,1
numbers,19
supp,2
negron,14
jill,3
ryan,19
lpeast,7
prepared,41
synopsis,12
forensic,39
jbasscone,1
tmclean,1
drop,34
chair,39
undetermined,4
happening,22
mall,15
total,31
parnell,1
bass,3
belvidere,4
assisting,12
earlier,86
rpm,1
booked,197
warrants,54
record,219
perry,26
possessing,3
narcotics,20
liquor,16
law,14
violation,19
trespassing,3
traffic,57
frankie,1
vana,5
kidnappingraperobberyarrest,2
kidnappingraperobberyarrestcleanup,2
incompany,13
zbydniewski,13
grandfather,7
whereabouts,26
craig,36
absence,3
por,4
buelow,34
uncooperativeno,1
straight,64
capias,4
charged,148
duvallofficer,3
kidnappingraperobberyarrestclean,1
cynthia,5
espey,1
stills,1
mclaughlin,2
lucie,9
rooming,2
unlocked,23
lipsneck,1
boarding,2
changed,239
underpants,38
reside,10
sanders,3
withf,11
maintaining,3
pelvic,3
region,4
bath,37
evident,5
sues,1
rapecancel,20
mentionclean,1
discussed,9
bruce,2
rule,7
uncopopeartive,1
cage,2
rapekidnappingarrest,10
aboe,3
patterson,7
seated,15
frep,1
crunt,1
hang,13
cocai,1
staver,1
les,2
cell,123
hone,1
